482.781675,-772.362379,326.000000	505.318908,-754.112087,326.000000	468.818325,-709.037621,326.000000	446.281092,-727.287913,326.000000	482.781675,-772.362379,326.000000	505.318908,-754.112087,326.000000	468.818325,-709.037621,326.000000	446.281092,-727.287913,326.000000
448.973481,-800.121631,327.000000	469.956422,-783.129981,327.000000	432.826519,-737.278369,327.000000	411.843578,-754.270019,327.000000	448.973481,-800.121631,341.000000	469.956422,-783.129981,341.000000	432.826519,-737.278369,341.000000	411.843578,-754.270019,341.000000
389.822422,-851.154185,327.000000	413.136801,-832.274573,327.000000	375.377578,-785.645815,327.000000	352.063199,-804.525427,327.000000	389.822422,-851.154185,349.000000	413.136801,-832.274573,349.000000	375.377578,-785.645815,349.000000	352.063199,-804.525427,349.000000
361.724042,-883.078323,327.000000	393.587026,-857.276187,327.000000	348.275958,-801.321677,327.000000	316.412974,-827.123813,327.000000	361.724042,-883.078323,459.000000	393.587026,-857.276187,459.000000	348.275958,-801.321677,459.000000	316.412974,-827.123813,459.000000
326.144341,-973.523251,330.000000	368.110223,-939.539950,330.000000	298.255659,-853.276749,330.000000	256.289777,-887.260050,330.000000	326.144341,-973.523251,352.000000	368.110223,-939.539950,352.000000	298.255659,-853.276749,352.000000	256.289777,-887.260050,352.000000
337.077823,-1000.255198,326.000000	392.255187,-955.573451,326.000000	376.522177,-936.144802,326.000000	321.344813,-980.826549,326.000000	337.077823,-1000.255198,361.000000	392.255187,-955.573451,361.000000	376.522177,-936.144802,361.000000	321.344813,-980.826549,361.000000
311.093342,-1040.117061,325.000000	346.064911,-1011.797644,325.000000	261.106658,-906.882939,325.000000	226.135089,-935.202356,325.000000	311.093342,-1040.117061,337.000000	346.064911,-1011.797644,337.000000	261.106658,-906.882939,337.000000	226.135089,-935.202356,337.000000
648.079893,-733.082564,325.000000	694.708651,-695.323340,325.000000	656.320107,-647.917436,325.000000	609.691349,-685.676660,325.000000	648.079893,-733.082564,345.000000	694.708651,-695.323340,345.000000	656.320107,-647.917436,345.000000	609.691349,-685.676660,345.000000
565.016951,-743.822867,324.000000	612.422855,-705.434323,324.000000	602.983049,-693.777133,324.000000	555.577145,-732.165677,324.000000	565.016951,-743.822867,357.000000	612.422855,-705.434323,357.000000	602.983049,-693.777133,357.000000	555.577145,-732.165677,357.000000
608.611937,-749.574141,325.000000	631.926316,-730.694530,325.000000	611.788063,-705.825859,325.000000	588.473684,-724.705470,325.000000	608.611937,-749.574141,335.000000	631.926316,-730.694530,335.000000	611.788063,-705.825859,335.000000	588.473684,-724.705470,335.000000
573.925199,-757.150507,326.000000	595.685286,-739.529536,326.000000	586.874801,-728.649493,326.000000	565.114714,-746.270464,326.000000	573.925199,-757.150507,332.000000	595.685286,-739.529536,332.000000	586.874801,-728.649493,332.000000	565.114714,-746.270464,332.000000
558.622422,-811.254185,326.000000	581.936801,-792.374573,326.000000	544.177578,-745.745815,326.000000	520.863199,-764.625427,326.000000	558.622422,-811.254185,339.000000	581.936801,-792.374573,339.000000	544.177578,-745.745815,339.000000	520.863199,-764.625427,339.000000
518.741257,-813.551287,327.000000	542.055636,-794.671675,327.000000	520.658743,-768.248713,327.000000	497.344364,-787.128325,327.000000	518.741257,-813.551287,333.000000	542.055636,-794.671675,333.000000	520.658743,-768.248713,333.000000	497.344364,-787.128325,333.000000
533.172413,-834.290139,327.000000	554.155354,-817.298488,327.000000	542.827587,-803.309861,327.000000	521.844646,-820.301512,327.000000	533.172413,-834.290139,356.000000	554.155354,-817.298488,356.000000	542.827587,-803.309861,356.000000	521.844646,-820.301512,356.000000
457.143207,-848.056140,328.000000	490.560483,-820.995363,328.000000	475.456793,-802.343860,328.000000	442.039517,-829.404637,328.000000	457.143207,-848.056140,359.000000	490.560483,-820.995363,359.000000	475.456793,-802.343860,359.000000	442.039517,-829.404637,359.000000
482.169408,-879.902520,328.000000	528.798165,-842.143297,328.000000	508.030592,-816.497480,328.000000	461.401835,-854.256703,328.000000	482.169408,-879.902520,344.000000	528.798165,-842.143297,344.000000	508.030592,-816.497480,344.000000	461.401835,-854.256703,344.000000
444.902519,-908.125590,328.000000	468.216898,-889.245978,328.000000	439.897481,-854.274410,328.000000	416.583102,-873.154022,328.000000	444.902519,-908.125590,347.000000	468.216898,-889.245978,347.000000	439.897481,-854.274410,347.000000	416.583102,-873.154022,347.000000
415.286024,-934.375311,329.000000	440.931840,-913.607738,329.000000	401.913976,-865.424689,329.000000	376.268160,-886.192262,329.000000	415.286024,-934.375311,347.000000	440.931840,-913.607738,347.000000	401.913976,-865.424689,347.000000	376.268160,-886.192262,347.000000
690.018631,-781.908261,331.000000	736.647389,-744.149037,331.000000	705.181369,-705.291739,331.000000	658.552611,-743.050963,331.000000	690.018631,-781.908261,362.000000	736.647389,-744.149037,362.000000	705.181369,-705.291739,362.000000	658.552611,-743.050963,362.000000
